"","x"
"918","AC105942.1"
"919","ALG14"
"920","AC095033.1"
"921","TMEM56"
"922","TMEM56-RWDD3"
"923","AC092802.1"
"924","RWDD3"
"925","PTBP2"
"926","DPYD"
"927","MIR137HG"
"928","BX005019.1"
"929","LINC01776"
"930","SNX7"
"931","PLPPR5"
"932","AL445433.2"
"933","PLPPR4"
"934","PALMD"
"935","FRRS1"
"936","AGL"
"937","AC118553.1"
"938","SLC35A3"
"939","AC118553.2"
"940","MFSD14A"
"941","SASS6"
"942","TRMT13"
"943","LRRC39"
"944","DBT"
"945","RTCA-AS1"
"946","RTCA"
"947","CDC14A"
"948","GPR88"
"949","VCAM1"
"950","EXTL2"
"951","AC104506.1"
"952","SLC30A7"
"953","DPH5"
"954","AC093157.2"
"955","AC093157.1"
"956","AL109741.1"
"957","S1PR1"
"958","COL11A1"
"959","RNPC3"
"960","AMY2B"
"961","PRMT6"
"962","NTNG1"
"963","VAV3"
"964","AL390036.1"
"965","SLC25A24"
"966","AL359258.2"
"967","FAM102B"
"968","HENMT1"
"969","PRPF38B"
"970","FNDC7"
"971","STXBP3"
"972","AKNAD1"
"973","AL449266.1"
"974","GPSM2"
"975","CLCC1"
"976","WDR47"
"977","TAF13"
"978","AL356488.3"
"979","TMEM167B"
"980","AL356488.2"
"981","C1orf194"
"982","KIAA1324"
"983","SARS"
"984","CELSR2"
"985","PSRC1"
"986","MYBPHL"
"987","SORT1"
"988","PSMA5"
"989","SYPL2"
"990","ATXN7L2"
"991","CYB561D1"
"992","AMIGO1"
"993","GPR61"
"994","GNAI3"
"995","AMPD2"
"996","GSTM4"
"997","GSTM2"
"998","GSTM1"
"999","AC000032.1"
"1000","GSTM5"
"1001","GSTM3"
"1002","CSF1"
"1003","AHCYL1"
"1004","STRIP1"
"1005","AL160006.1"
"1006","ALX3"
"1007","UBL4B"
"1008","SLC6A17"
"1009","KCNC4"
"1010","RBM15-AS1"
"1011","RBM15"
"1012","SLC16A4"
"1013","AL355488.1"
"1014","LAMTOR5"
"1015","KCNA2"
"1016","AL365361.1"
"1017","KCNA3"
"1018","CD53"
"1019","AL360270.1"
"1020","LRIF1"
"1021","AL360270.3"
"1022","DRAM2"
"1023","CEPT1"
"1024","AL355816.2"
"1025","DENND2D"
"1026","CHI3L2"
"1027","PIFO"
"1028","OVGP1"
"1029","WDR77"
"1030","ATP5PB"
"1031","C1orf162"
"1032","TMIGD3"
"1033","ADORA3"
"1034","RAP1A"
"1035","INKA2"
"1036","DDX20"
"1037","KCND3"
"1038","LINC01750"
"1039","CTTNBP2NL"
"1040","WNT2B"
"1041","AL354760.1"
"1042","ST7L"
"1043","CAPZA1"
"1044","MOV10"
"1045","AL603832.1"
"1046","RHOC"
